Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
1499326367,"Apr 9, 2018, 8:46:21 PM",Afternoon Walk,Walk,Walk with Sadie.,2064,1.86,,,FALSE,,,activities/1499326367.gpx,91.08129883,,2064,1770,1867.599976,1.899999976,,0,,289.2999878,291.1000061,2.700000048,0.005354465,,,,,,,,,209.0026855,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499593524,"Apr 10, 2018, 12:44:52 AM",Evening Walk,Walk,Walk with  Sadie. I had some discomfort around that incision hernia.,1249,1.16,,,FALSE,,,activities/1499593524.gpx,91.08129883,,1249,1092,1163,2,,0,,289.7000122,291.2000122,2.799999952,0.025795357,,,,,,,,,130.151062,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500272852,"Apr 10, 2018, 12:15:32 PM",Morning Walk,Walk,Walk with  Sadie,1710,1.19,,,FALSE,,,activities/1500272852.gpx,91.08129883,,1710,1218,1195.300049,1.799999952,,0,,289.7000122,291.2000122,2.099999905,0,,,,,,,,,133.7657471,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500644239,"Apr 10, 2018, 4:12:55 PM",Lunch Walk,Walk,"Walk  with Sadie. Felt quite a bit better than yesterday
",1784,1.67,,,FALSE,,,activities/1500644239.gpx,91.08129883,,1784,1693,1678,2,,4.519999981,,285.7999878,291.1000061,11.60000038,0.029797377,,,,,,,,,187.7845917,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501098627,"Apr 10, 2018, 7:31:14 PM",Afternoon Walk,Walk,Walk with Sadie.,1905,1.94,,,FALSE,,,activities/1501098627.gpx,91.08129883,,1905,1830,1943.199951,3.099999905,,0,,289.2000122,291.1000061,2.200000048,0.010292301,,,,,,,,,217.4630737,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501471086,"Apr 11, 2018, 12:03:02 AM",Evening Walk,Walk,Evening walk with Sadie ,2157,1.26,,,FALSE,,,activities/1501471086.gpx,91.08129883,,2157,1142,1265.300049,2.5,,0,,289.7000122,291.2999878,2.099999905,-0.015806528,,,,,,,,,141.5994415,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502259863,"Apr 11, 2018, 1:15:43 PM",Morning Walk,Walk,Walk with Sadie,1744,1.19,,,FALSE,,,activities/1502259863.gpx,91.08129883,,1744,1160,1197.699951,2.599999905,,0,,289.7999878,291.1000061,2.099999905,0,,,,,,,,,134.0343323,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503255001,"Apr 11, 2018, 10:39:08 PM",Afternoon Walk,Walk,Walk with Sadie ,1983,1.22,,,FALSE,,,activities/1503255001.gpx,91.08129883,,1983,1102,1225.400024,3.400000095,,0,,289.7000122,291.1000061,2,0.016321201,,,,,,,,,137.1342316,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504042694,"Apr 12, 2018, 12:07:35 PM",Morning Walk,Walk,"Walk with Sadie
",1555,1.19,,,FALSE,,,activities/1504042694.gpx,91.08129883,,1555,1167,1197.400024,2,,0,,289.7999878,291.3999939,2.200000048,0.008351428,,,,,,,,,134.0007629,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504843182,"Apr 12, 2018, 7:27:57 PM",Afternoon Walk,Walk,Walk with Sadie ,1988,1.91,,,FALSE,,,activities/1504843182.gpx,91.08129883,,1988,1917,1911.699951,1.799999952,,0,,289.2000122,291.1000061,2.099999905,0.005230946,,,,,,,,,213.937912,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505052410,"Apr 12, 2018, 8:28:40 PM",Afternoon Walk,Walk,Raider Express to use Wi-Fi,7559,1.19,,,FALSE,,,activities/1505052410.gpx,91.08129883,,7559,1195,1197,1.600000024,,0,,289.7000122,291.2999878,2.099999905,0.016708437,,,,,,,,,133.9559937,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506181129,"Apr 13, 2018, 3:56:35 PM",Morning Walk,Walk,Walk with Sadie ,1761,1.51,,,FALSE,,,activities/1506181129.gpx,91.08129883,,1761,1397,1515.900024,3.5,,0,,289.6000061,291.2999878,2.299999952,0.019790223,,,,,,,,,169.6440277,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506508726,"Apr 13, 2018, 7:25:09 PM",Afternoon Walk,Walk,Walk with Sadie ,1663,1.53,,,FALSE,,,activities/1506508726.gpx,91.08129883,,1663,1492,1534.400024,2.200000048,,0,,289.6000061,291.1000061,2.299999952,0.006517205,,,,,,,,,171.7143555,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
